City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,siquirres,10.0975,-83.5066,24.38,95,100,1.14,CR,1715496550
213,bonab,37.3404,46.0561,24.25,33,0,3.09,IR,1715496550
214,veinticinco de mayo,-35.4323,-60.1727,5.55,97,4,0.45,AR,1715496551
215,lihue,21.9789,-159.3672,23.58,82,75,6.69,US,1715496551
216,barmer,25.75,71.3833,38.41,22,87,5.26,IN,1715496552
217,petropavlovka,50.6114,105.3196,28.53,20,85,1.34,RU,1715496552
218,fortuna,40.5982,-124.1573,12.18,96,100,0.0,US,1715496553
219,nova vicosa,-17.8919,-39.3719,23.61,89,7,2.69,BR,1715496553
220,beira,-19.8436,34.8389,26.05,88,20,2.68,MZ,1715496554
221,susuman,62.7833,148.1667,3.32,69,100,5.36,RU,1715496554
222,dunedin,-45.8742,170.5036,11.56,72,100,0.89,NZ,1715496268
223,barra,-11.0894,-43.1417,22.83,83,17,2.14,BR,1715496555
224,vorgashor,67.5833,63.95,-5.11,95,87,2.58,RU,1715496556
225,hadibu,12.65,54.0333,30.12,65,28,0.47,YE,1715496557
226,ketchikan,55.3422,-131.6461,9.26,81,100,2.57,US,1715496557
227,nova xavantina,-14.6667,-52.35,19.93,73,0,0.89,BR,1715496558
228,mochudi,-24.4167,26.15,16.33,23,0,3.91,BW,1715496558
229,port alfred,-33.5906,26.891,14.54,75,4,0.45,ZA,1715496559
230,cullowhee,35.3137,-83.1765,12.17,93,11,1.05,US,1715496559
231,dilling,12.05,29.65,35.12,22,99,2.97,SD,1715496560
232,lamu,-2.2717,40.902,28.49,74,77,7.34,KE,1715496561
233,mendoza,-32.8908,-68.8272,9.74,46,100,3.09,AR,1715496340
234,kolonia town,6.964,158.206,27.0,94,100,4.12,FM,1715496562
235,seesen,51.9,10.1833,17.08,83,2,2.94,DE,1715496564
236,kalevala,65.2,31.1667,0.61,96,99,1.34,RU,1715496565
237,zhangjiakou,40.81,114.8794,22.27,14,0,5.76,CN,1715496565
238,hasaki,35.7333,140.8333,24.05,70,97,10.66,JP,1715496566
239,xinqing,48.2333,129.5,7.69,84,97,4.09,CN,1715496566
240,twon-brass,4.3151,6.2418,28.38,81,100,4.16,NG,1715496567
241,kodiak,57.79,-152.4072,5.73,81,100,1.54,US,1715496327
242,nova sintra,14.8667,-24.7167,20.35,81,97,7.88,CV,1715496568
243,codrington,-38.2667,141.9667,14.19,72,98,2.67,AU,1715496568
244,imperia,43.9667,7.7833,18.82,66,36,1.45,IT,1715496488
245,zyryanskoye,56.8306,86.6258,16.54,27,73,4.26,RU,1715496569
246,yurty,56.0498,97.6348,14.27,41,97,6.03,RU,1715496570
247,quibala,-10.7337,14.98,19.11,53,77,1.65,AO,1715496570
248,yeppoon,-23.1333,150.7333,26.88,77,0,2.88,AU,1715496571
249,sequeira,40.5536,-7.2259,8.98,85,100,1.51,PT,1715496571
250,sisimiut,66.9395,-53.6735,1.23,84,100,7.1,GL,1715496572
251,chiang mai,18.75,99.0,39.39,49,20,2.06,TH,1715496183
252,tafresh,34.692,50.013,22.97,22,0,3.47,IR,1715496499
253,novodvinsk,64.4165,40.8122,-0.14,92,100,3.74,RU,1715496573
254,wailua homesteads,22.0669,-159.378,23.24,86,75,6.69,US,1715496574
255,forster,-32.1667,152.5167,18.49,80,2,3.56,AU,1715496574
256,prince george,53.9166,-122.753,13.69,51,0,4.63,CA,1715496575
257,ironwood,46.4547,-90.171,12.45,38,0,5.66,US,1715496575
